Nama Kost,Alamat,Harga Sewa (C1 - Rp),Jarak (C2 - Meter),Fasilitas (C3),Keamanan (C4),Kebersihan (C5)
Kost Ibu Aris Non AC,"Pamulang (Dekat UNPAM Viktor)",900000,300,2,3,3
Kost Hive Living Tipe D,Serpong,1680000,2500,5,4,4
Kost Hive Living Tipe E,Serpong,1490000,2500,5,4,4
Kost The Best Kost Tipe B,Serpong,1700000,3000,5,4,4
Kost The Best Kost Tipe A,Serpong,1740000,3000,5,4,4
Kost The Best Kost Tipe C,Serpong,1600000,3000,5,4,4
Kost Hive Living Tipe A,Serpong,2040000,2500,5,5,5
Kost Saga Bukit Dago,Kec. Setu (Dekat Viktor),900000,1200,4,3,3
Kost Hive Living Tipe C,Serpong,1920000,2500,5,4,4
Kost Exclusive Buana Residence,Serpong,2000000,3500,5,5,4
